
============================================================
[AUTO-GA] Starting: exp_same_equal_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_same_equal_v2 --profile single --time-profile equal
============================================================
Run 7 | youtube_premium.json | time=300.0s | left=4544.6s
Run 8 | australia_iptv.json | time=300.0s | left=5100.0s
Run 8 | canada_pw.json | time=300.0s | left=5097.1s
Run 8 | china_pw.json | time=300.0s | left=5095.2s
Run 8 | croatia_tv_input.json | time=300.0s | left=5081.5s
Run 8 | france_iptv.json | time=300.0s | left=5073.7s
Run 8 | germany_tv_input.json | time=300.0s | left=4869.3s
Run 8 | kosovo_tv_input.json | time=300.0s | left=4863.2s
Run 8 | netherlands_tv_input.json | time=300.0s | left=4855.3s
Run 8 | singapore_pw.json | time=300.0s | left=4846.5s
Run 8 | spain_iptv.json | time=300.0s | left=4822.3s
Run 8 | toy.json | time=300.0s | left=4812.4s
Run 8 | uk_iptv.json | time=300.0s | left=4811.4s
Run 8 | uk_tv_input.json | time=300.0s | left=4795.7s
Run 8 | usa_tv_input.json | time=300.0s | left=4785.9s
Run 8 | us_iptv.json | time=300.0s | left=4736.5s
Run 8 | youtube_gold.json | time=300.0s | left=4493.7s
Run 8 | youtube_premium.json | time=300.0s | left=4486.9s
Run 9 | australia_iptv.json | time=300.0s | left=5100.0s
Run 9 | canada_pw.json | time=300.0s | left=5099.5s
Run 9 | china_pw.json | time=300.0s | left=5099.0s
Run 9 | croatia_tv_input.json | time=300.0s | left=5095.9s
Run 9 | france_iptv.json | time=300.0s | left=5094.7s
Run 9 | germany_tv_input.json | time=300.0s | left=5065.1s
Run 9 | kosovo_tv_input.json | time=300.0s | left=5064.0s
Run 9 | netherlands_tv_input.json | time=300.0s | left=5062.7s
Run 9 | singapore_pw.json | time=300.0s | left=5061.4s
Run 9 | spain_iptv.json | time=300.0s | left=5056.1s
Run 9 | toy.json | time=300.0s | left=5054.4s
Run 9 | uk_iptv.json | time=300.0s | left=5054.2s
Run 9 | uk_tv_input.json | time=300.0s | left=5050.5s
Run 9 | usa_tv_input.json | time=300.0s | left=5048.6s
Run 9 | us_iptv.json | time=300.0s | left=5041.1s
Run 9 | youtube_gold.json | time=300.0s | left=4997.7s
Run 9 | youtube_premium.json | time=300.0s | left=4989.1s
Run 10 | australia_iptv.json | time=300.0s | left=5100.0s
Run 10 | canada_pw.json | time=300.0s | left=5099.5s
Run 10 | china_pw.json | time=300.0s | left=5099.0s
Run 10 | croatia_tv_input.json | time=300.0s | left=5096.1s
Run 10 | france_iptv.json | time=300.0s | left=5094.8s
Run 10 | germany_tv_input.json | time=300.0s | left=5054.1s
Run 10 | kosovo_tv_input.json | time=300.0s | left=5052.9s
Run 10 | netherlands_tv_input.json | time=300.0s | left=5051.2s
Run 10 | singapore_pw.json | time=300.0s | left=5049.5s
Run 10 | spain_iptv.json | time=300.0s | left=5043.2s
Run 10 | toy.json | time=300.0s | left=5040.8s
Run 10 | uk_iptv.json | time=300.0s | left=5040.6s
Run 10 | uk_tv_input.json | time=300.0s | left=5035.9s
Run 10 | usa_tv_input.json | time=300.0s | left=5033.3s
Run 10 | us_iptv.json | time=300.0s | left=5021.4s
Run 10 | youtube_gold.json | time=300.0s | left=4858.2s
Run 10 | youtube_premium.json | time=300.0s | left=4818.6s
Summary saved: C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\data\output\genetic_algorithm\experiments\exp_tuned_equal_v2\summary.json

============================================================
[AUTO-GA] Starting: exp_tuned_equal_mutboost_v2
Command: C:\Users\perve\AppData\Local\Programs\Python\Python313\python.exe C:\Users\perve\Desktop\Algoritmet-e-inspiruara-nga-natyra\AA_25-26-main\AA_25-26-main\ga_experiment.py --runs 10 --total-time 5100.0 --time-buffer 0 --population-size 50 --mutation-rate 0.30 --stagnation-limit 20 --min-runtime-before-stop 0 --max-instance-time 300.0 --clean-output --experiment-name exp_tuned_equal_mutboost_v2 --profile tuned --time-profile equal
============================================================
Run 1 | australia_iptv.json | time=300.0s | left=5100.0s
Run 1 | canada_pw.json | time=300.0s | left=5097.4s
Run 1 | china_pw.json | time=300.0s | left=5095.1s
Run 1 | croatia_tv_input.json | time=300.0s | left=5080.3s
Run 1 | france_iptv.json | time=300.0s | left=5073.6s
Run 1 | germany_tv_input.json | time=300.0s | left=4843.0s
Run 1 | kosovo_tv_input.json | time=300.0s | left=4838.1s
Run 1 | netherlands_tv_input.json | time=300.0s | left=4832.5s
Run 1 | singapore_pw.json | time=300.0s | left=4826.0s
Run 1 | spain_iptv.json | time=300.0s | left=4812.2s
Run 1 | toy.json | time=300.0s | left=4501.0s
Run 1 | uk_iptv.json | time=300.0s | left=4500.5s
Run 1 | uk_tv_input.json | time=300.0s | left=4479.5s
Run 1 | usa_tv_input.json | time=300.0s | left=4464.0s
Run 1 | us_iptv.json | time=300.0s | left=4402.8s
Run 1 | youtube_gold.json | time=300.0s | left=4123.6s
Run 1 | youtube_premium.json | time=300.0s | left=4064.3s
Run 2 | australia_iptv.json | time=300.0s | left=5100.0s
Run 2 | canada_pw.json | time=300.0s | left=5096.5s
Run 2 | china_pw.json | time=300.0s | left=5093.6s
Run 2 | croatia_tv_input.json | time=300.0s | left=5079.5s
Run 2 | france_iptv.json | time=300.0s | left=5072.7s
Run 2 | germany_tv_input.json | time=300.0s | left=4887.0s
Run 2 | kosovo_tv_input.json | time=300.0s | left=4881.9s
Run 2 | netherlands_tv_input.json | time=300.0s | left=4875.5s
Run 2 | singapore_pw.json | time=300.0s | left=4868.3s
Run 2 | spain_iptv.json | time=300.0s | left=4839.6s
Run 2 | toy.json | time=300.0s | left=4826.9s
Run 2 | uk_iptv.json | time=300.0s | left=4825.6s
